bucket,multicell,freq,weighted,h,meas
198,f,156,1.541175203404542067516563,1,nrep
198,t,591,6.370323912536357774062162,1,nrep
199,f,131,0.739795795306860670932718,1,nrep
199,t,928,87.766206312533134798110655,1,nrep
200,f,156,2.412231765089128551188798,1,nrep
200,t,801,30.134039286198676362364349,1,nrep
201,f,129,0.082168842965084292140186,1,nrep
201,t,577,8.657658585163027722443124,1,nrep
202,f,215,0.174098604318750143106214,1,nrep
202,t,1220,36.172814602150024820435436,1,nrep
203,f,96,0.013909038361732612572521,1,nrep
203,t,334,1.178855214507067495216823,1,nrep
204,f,177,0.868857256599288987177526,1,nrep
204,t,760,44.496017649242437318903021,1,nrep
205,f,192,6.587372860230460382029798,1,nrep
205,t,812,25.333271791683024703073710,1,nrep
206,f,207,2.100199304492376228119813,1,nrep
206,t,962,15.530123604291817429195157,1,nrep
207,f,155,0.087720032114644798355705,1,nrep
207,t,657,13.167979109522039286545650,1,nrep
208,f,180,0.616444409930407976570081,1,nrep
208,t,794,5.771033401336731478078025,1,nrep
209,f,220,1.642930958039375851910985,1,nrep
209,t,891,27.424902722342863079813821,1,nrep
210,f,181,0.386980047566529964045047,1,nrep
210,t,1067,29.426092262954396301431917,1,nrep
211,f,172,0.733352500548244269087037,1,nrep
211,t,911,30.421554084925093469968537,1,nrep
212,f,183,0.638250109818364163127080,1,nrep
212,t,956,9.384966732880719832981599,1,nrep
213,f,224,4.034496617221766178300874,1,nrep
213,t,951,27.637301315787087932699886,1,nrep
214,f,257,3.848918778063403798298574,1,nrep
214,t,876,14.403309002218225575978198,1,nrep
215,f,185,0.037070574870487149727248,1,nrep
215,t,1026,12.688243929280714817593385,1,nrep
216,f,204,1.438923722515750432154971,1,nrep
216,t,1660,50.277239620745320183627918,1,nrep
217,f,213,0.045408894499893512016583,1,nrep
217,t,882,28.870148092060943190625814,1,nrep
218,f,247,0.918981774197727289216434,1,nrep
218,t,1023,16.544451461385295111670044,1,nrep
219,f,212,0.121674930503496130623314,1,nrep
219,t,1041,21.760723719884286107936112,1,nrep
220,f,229,0.329245488504247890512729,1,nrep
220,t,1161,30.356574553193787792057024,1,nrep
221,f,277,5.950351288408870029510554,1,nrep
221,t,2062,95.517750679481134619144074,1,nrep
222,f,283,0.888047119463119056386384,1,nrep
222,t,1191,39.375368397586585665878481,1,nrep
223,f,256,0.817729184865159385972541,1,nrep
223,t,1074,20.894708840705619636053506,1,nrep
224,f,262,1.473005494845324776173073,1,nrep
224,t,947,29.280432124451416579051058,1,nrep
225,f,232,0.167026083204585509610290,1,nrep
225,t,1301,21.962423371768201168586106,1,nrep
226,f,284,0.097074596334477911032143,1,nrep
226,t,2125,93.690307925207293829885447,1,nrep
227,f,270,0.284656051346918803668093,1,nrep
227,t,1380,63.547122544773225029343857,1,nrep
228,f,270,0.464677687824745262916225,1,nrep
228,t,1104,32.416107529136828282831695,1,nrep
229,f,315,3.791939692239448382639559,1,nrep
229,t,1177,35.724592298983975288996339,1,nrep
230,f,259,1.864569519645051771708845,1,nrep
230,t,1333,31.792470668038928797615220,1,nrep
231,f,319,0.665315101611875278571379,1,nrep
231,t,2140,77.859002765092684598961556,1,nrep
232,f,240,0.144611723154719937664503,1,nrep
232,t,1021,14.728532091343661000519301,1,nrep
233,f,308,0.513749431352126289655545,1,nrep
233,t,1413,25.801532900337734779742980,1,nrep
234,f,282,0.546806498934018020824220,1,nrep
